iter	RMSE
0	9.240663171
1	8.931139862
2	8.660481935
3	8.365983077
4	8.092381117
5	7.826434762
6	7.588106708
7	7.355481865
8	7.138673508
9	6.927662144
10	6.722736162
11	6.516933387
12	6.335003682
13	6.152811579
14	5.98670526
15	5.814515065
16	5.656951865
17	5.502479209
18	5.349785888
19	5.216199475
20	5.094565315
21	4.966909572
22	4.84185454
23	4.74058269
24	4.638238482
25	4.517330494
26	4.415338155
27	4.319394686
28	4.230383193
29	4.144251523
30	4.066641524
31	3.990106474
32	3.914747259
33	3.843266006
34	3.781406026
35	3.709176118
36	3.645956367
37	3.592451842
38	3.538016407
39	3.487091289
40	3.434798626
41	3.386873824
42	3.338120674
43	3.295286467
44	3.252773074
45	3.215296435
46	3.180302214
47	3.139545299
48	3.108778447
49	3.078852031
50	3.043382153
51	3.010695389
52	2.981676135
53	2.956658478
54	2.926660567
55	2.903551238
56	2.880775929
57	2.854716192
58	2.83352527
59	2.807471437
60	2.781996377
61	2.764257344
62	2.742214325
63	2.725041579
64	2.706565098
65	2.68836966
66	2.672600919
67	2.657478148
68	2.642663835
69	2.624894638
70	2.612120432
71	2.597290149
72	2.581524772
73	2.570528964
74	2.557835551
75	2.543884967
76	2.535304105
77	2.522644341
78	2.510191298
79	2.495921214
80	2.487026957
81	2.477242817
82	2.471259499
83	2.462286426
84	2.452077047
85	2.443097457
86	2.432927732
87	2.424086187
88	2.415201495
89	2.411078288
90	2.404945589
91	2.39708755
92	2.386670712
93	2.380582056
94	2.374442293
95	2.368664354
96	2.361704188
97	2.355892685
98	2.350402378
99	2.345718554
100	2.339054994
101	2.334482247
102	2.326678738
103	2.321916006
104	2.313824427
105	2.308139594
106	2.303580806
107	2.294159352
108	2.288455095
109	2.283239703
110	2.277036026
111	2.273503325
112	2.269365528
113	2.264244435
114	2.255179638
115	2.241931126
116	2.23689102
117	2.229518767
118	2.225897363
119	2.220627796
120	2.216404295
121	2.213329251
122	2.208538664
123	2.204783051
124	2.199817224
125	2.195460278
126	2.189495931
127	2.184577597
128	2.178720174
129	2.174822982
130	2.170082805
131	2.163234706
132	2.15921491
133	2.156581254
134	2.154157709
135	2.150504309
136	2.14441011
137	2.137946379
138	2.132555947
139	2.129422598
140	2.125640395
141	2.122966974
142	2.120193496
143	2.116113751
144	2.112689057
145	2.10801807
146	2.104666117
147	2.101359354
148	2.096699285
149	2.09187959
150	2.088263071
151	2.085735695
152	2.081225167
153	2.077563303
154	2.07483597
155	2.07071533
156	2.066873934
157	2.065017854
158	2.062682552
159	2.059622958
160	2.056833847
161	2.053894632
162	2.051572426
163	2.048598555
164	2.044923487
165	2.042944198
166	2.038171378
167	2.033147004
168	2.027012866
169	2.01973375
170	2.013821522
171	2.010947528
172	2.007023994
173	2.004179497
174	2.000121953
175	1.991274561
176	1.988018467
177	1.984332156
178	1.981138416
179	1.978823902
180	1.975433404
181	1.971533657
182	1.966897747
183	1.962114055
184	1.959730063
185	1.957409858
186	1.954940224
187	1.952361218
188	1.94801677
189	1.945467616
190	1.943185369
191	1.940746753
192	1.93832285
193	1.935968978
194	1.933792331
195	1.931338817
196	1.929007062
197	1.92600411
198	1.923545066
199	1.921200474
200	1.918787801
201	1.916782805
202	1.914885032
203	1.912614163
204	1.910552376
205	1.906272281
206	1.904219175
207	1.901949189
208	1.899404498
209	1.896989097
210	1.894985078
211	1.893816701
212	1.891508362
213	1.888814513
214	1.88662544
215	1.884863067
216	1.883274134
217	1.881296843
218	1.876278269
219	1.874085122
220	1.872259229
221	1.870561927
222	1.868674078
223	1.865096278
224	1.862911421
225	1.86063474
226	1.858738058
227	1.856815705
228	1.852846476
229	1.850788405
230	1.84821873
231	1.844914884
232	1.841561617
233	1.839611296
234	1.836161489
235	1.834010573
236	1.832582359
237	1.830882354
238	1.829017284
239	1.827154996
240	1.825410352
241	1.823648506
242	1.82188901
243	1.816336866
244	1.814947381
245	1.814162887
246	1.813221871
247	1.811533084
248	1.809510411
249	1.806506894
250	1.805182523
251	1.803491087
252	1.801565892
253	1.800595115
254	1.799268168
255	1.797734147
256	1.796359319
257	1.794219687
258	1.792704731
259	1.790771089
260	1.789681241
261	1.788237791
262	1.787153133
263	1.783692618
264	1.78102323
265	1.778433505
266	1.775637999
267	1.774081947
268	1.772823059
269	1.768980691
270	1.767412433
271	1.766397318
272	1.765008726
273	1.763958788
274	1.762812192
275	1.76211549
276	1.760435836
277	1.758799693
278	1.757170884
279	1.755690626
280	1.754862626
281	1.753548453
282	1.75018623
283	1.748741103
284	1.747163456
285	1.745679306
286	1.744617774
287	1.742278502
288	1.739265028
289	1.738409526
290	1.733910978
291	1.732668887
292	1.730839028
293	1.729659641
294	1.72831153
295	1.725985529
296	1.722683666
297	1.720950403
298	1.720003501
299	1.718337865
300	1.717011468
301	1.715656792
302	1.713779233
303	1.712721093
304	1.709465943
305	1.707765311
306	1.706719183
307	1.705846912
308	1.704489013
309	1.701268318
310	1.700240291
311	1.697926803
312	1.696298956
313	1.693975986
314	1.690428276
315	1.689241813
316	1.687840705
317	1.685660504
318	1.683504814
319	1.681900197
320	1.680544522
321	1.67903915
322	1.677994406
323	1.676518355
324	1.672995049
325	1.672089249
326	1.671116072
327	1.669857073
328	1.669016233
329	1.667789415
330	1.666651411
331	1.665374541
332	1.664186715
333	1.662535336
334	1.660154464
335	1.659101084
336	1.657868269
337	1.656800444
338	1.656153468
339	1.654830563
340	1.653820916
341	1.653294103
342	1.651968807
343	1.650776448
344	1.649423389
