iter	Passed	Remaining
0	3	3778
1	7	3653
2	12	4273
3	17	4248
4	20	4153
5	25	4252
6	30	4291
7	34	4227
8	37	4181
9	43	4279
10	47	4264
11	51	4218
12	54	4174
13	60	4237
14	63	4200
15	67	4152
16	71	4132
17	76	4162
18	79	4123
19	83	4092
20	87	4066
21	92	4096
22	95	4066
23	99	4033
24	102	4006
25	107	4025
26	111	4025
27	115	4005
28	118	3979
29	123	4005
30	127	3990
31	131	3963
32	134	3942
33	139	3956
34	143	3943
35	146	3924
36	149	3903
37	153	3884
38	157	3887
39	161	3881
40	165	3868
41	168	3848
42	173	3862
43	177	3852
44	180	3835
45	184	3823
46	189	3842
47	193	3834
48	197	3823
49	200	3809
50	205	3821
51	208	3807
52	212	3794
53	216	3784
54	220	3792
55	224	3783
56	227	3771
57	231	3761
58	235	3760
59	239	3756
60	243	3749
61	247	3739
62	251	3737
63	255	3736
64	259	3734
65	263	3729
66	267	3725
67	271	3717
68	275	3712
69	278	3703
70	282	3692
71	286	3698
72	290	3691
73	294	3683
74	297	3673
75	302	3681
76	306	3674
77	310	3666
78	313	3659
79	318	3659
80	322	3656
81	325	3648
82	329	3643
83	334	3653
84	338	3647
85	342	3641
86	346	3634
87	351	3642
88	355	3637
89	358	3629
90	362	3623
91	366	3621
92	370	3618
93	375	3614
94	378	3607
95	382	3601
96	386	3594
97	390	3590
98	393	3584
99	398	3589
100	403	3588
101	406	3582
102	410	3576
103	414	3574
104	418	3569
105	422	3563
106	426	3558
107	430	3554
108	434	3551
109	438	3545
110	441	3539
111	446	3537
112	450	3532
113	453	3526
114	457	3521
115	462	3523
116	466	3524
117	470	3518
118	474	3512
119	478	3507
120	481	3501
121	485	3494
122	489	3492
123	493	3486
124	497	3482
125	501	3476
126	504	3471
127	509	3468
128	513	3465
129	516	3457
130	520	3453
131	524	3448
132	528	3444
133	532	3438
134	535	3432
135	539	3426
136	543	3424
137	547	3418
138	551	3414
139	554	3408
140	558	3405
141	562	3401
142	566	3396
143	570	3391
144	574	3386
145	578	3382
146	581	3376
147	585	3371
148	589	3366
149	593	3361
150	596	3355
151	600	3351
152	604	3344
153	608	3341
154	611	3335
155	615	3329
156	619	3324
157	622	3318
158	627	3317
159	631	3313
160	634	3308
161	638	3304
162	642	3300
163	646	3294
164	649	3288
165	653	3284
166	657	3280
167	661	3275
168	665	3270
169	668	3266
170	672	3262
171	676	3256
172	679	3250
173	683	3244
174	687	3239
175	691	3237
176	695	3235
177	699	3230
178	703	3224
179	706	3218
180	710	3213
181	714	3209
182	718	3205
183	721	3200
184	725	3195
185	728	3190
186	732	3184
187	736	3180
188	739	3174
189	743	3168
190	746	3162
191	750	3157
192	753	3152
193	757	3146
194	760	3139
195	764	3135
196	768	3130
197	771	3126
198	775	3120
199	779	3116
200	783	3112
201	786	3106
202	790	3103
203	794	3098
204	797	3092
205	801	3087
206	804	3081
207	807	3076
208	811	3071
209	815	3066
210	818	3061
211	822	3056
212	825	3050
213	829	3045
214	832	3040
215	836	3035
216	839	3029
217	843	3024
218	846	3019
219	850	3014
220	853	3009
221	857	3003
222	860	2998
223	864	2995
224	867	2988
225	871	2983
226	874	2979
227	878	2974
228	882	2970
229	885	2965
230	889	2960
231	892	2955
232	896	2950
233	899	2944
234	903	2939
235	906	2934
236	909	2928
237	913	2923
238	916	2918
239	919	2912
240	923	2908
241	927	2903
242	930	2898
243	934	2893
244	937	2889
245	940	2884
246	944	2879
247	947	2874
248	951	2870
249	955	2867
250	959	2862
251	963	2858
252	966	2853
253	970	2849
254	973	2845
255	977	2840
256	981	2838
257	985	2834
258	988	2829
259	992	2824
260	996	2820
261	999	2816
262	1003	2811
263	1007	2807
264	1010	2802
265	1014	2800
266	1018	2795
267	1021	2790
268	1025	2785
269	1028	2781
270	1032	2776
271	1035	2772
272	1039	2767
273	1043	2764
274	1047	2760
275	1050	2756
276	1054	2752
277	1058	2748
278	1061	2743
279	1065	2740
280	1069	2737
281	1073	2733
282	1077	2728
283	1080	2723
284	1084	2720
285	1087	2716
286	1091	2712
287	1095	2707
288	1098	2703
289	1102	2699
290	1105	2694
291	1109	2690
292	1113	2686
293	1117	2683
294	1121	2679
295	1125	2675
296	1128	2671
297	1133	2669
298	1137	2666
299	1141	2663
300	1145	2660
301	1150	2657
302	1154	2655
303	1158	2651
304	1162	2648
305	1166	2646
306	1170	2642
307	1173	2637
308	1177	2632
309	1180	2628
310	1184	2624
311	1188	2620
312	1191	2615
313	1195	2611
314	1199	2607
315	1202	2603
316	1206	2598
317	1209	2594
318	1213	2590
319	1217	2586
320	1220	2581
321	1224	2577
322	1227	2572
323	1230	2568
324	1234	2564
325	1238	2559
326	1242	2556
327	1245	2552
328	1250	2549
329	1253	2545
330	1256	2540
331	1260	2536
332	1263	2531
333	1267	2527
334	1270	2522
335	1274	2518
336	1277	2514
337	1281	2509
338	1285	2505
339	1288	2501
340	1292	2497
341	1296	2493
342	1299	2490
343	1303	2486
344	1307	2482
345	1311	2478
346	1314	2474
347	1318	2470
348	1321	2465
349	1325	2461
350	1328	2457
351	1332	2453
352	1336	2449
353	1340	2445
354	1343	2441
355	1347	2437
356	1350	2432
357	1354	2428
358	1357	2424
359	1361	2420
360	1364	2415
361	1368	2411
362	1371	2407
363	1375	2403
364	1379	2399
365	1382	2395
366	1386	2391
367	1389	2387
368	1393	2383
369	1397	2379
370	1402	2377
371	1408	2378
372	1414	2377
373	1419	2375
374	1424	2373
375	1428	2370
376	1432	2367
377	1437	2365
378	1441	2361
379	1445	2357
380	1448	2353
381	1451	2348
382	1455	2344
383	1458	2340
384	1462	2335
385	1465	2331
386	1469	2327
387	1472	2322
388	1475	2318
389	1478	2313
390	1482	2308
391	1486	2305
392	1489	2300
393	1493	2296
394	1496	2292
395	1500	2288
396	1503	2284
397	1507	2279
398	1510	2275
399	1514	2271
400	1517	2267
401	1522	2264
402	1525	2260
403	1529	2256
404	1532	2251
405	1536	2247
406	1539	2243
407	1543	2239
408	1546	2235
409	1550	2231
410	1554	2227
411	1557	2223
412	1561	2218
413	1564	2214
414	1567	2210
415	1571	2205
416	1574	2201
417	1578	2197
418	1581	2193
419	1585	2189
420	1588	2184
421	1592	2180
422	1595	2176
423	1599	2172
424	1602	2168
425	1606	2163
426	1609	2159
427	1614	2157
428	1617	2153
429	1621	2149
430	1624	2145
431	1628	2141
432	1632	2137
433	1635	2132
434	1639	2128
435	1642	2124
436	1646	2120
437	1649	2116
438	1653	2112
439	1656	2108
440	1660	2104
441	1663	2100
442	1667	2096
443	1670	2092
444	1674	2088
445	1677	2083
446	1681	2079
447	1684	2075
448	1687	2071
449	1691	2067
450	1694	2063
451	1698	2059
452	1701	2054
453	1705	2051
454	1708	2047
455	1712	2042
456	1715	2038
457	1719	2035
458	1723	2031
459	1726	2027
460	1730	2022
461	1733	2018
462	1736	2014
463	1740	2010
464	1743	2006
465	1747	2002
466	1750	1998
467	1754	1994
468	1758	1990
469	1761	1986
470	1766	1983
471	1770	1980
472	1776	1979
473	1780	1975
474	1783	1971
475	1787	1967
476	1790	1963
477	1793	1958
478	1796	1954
479	1799	1949
480	1803	1945
481	1806	1941
482	1809	1936
483	1812	1932
484	1815	1928
485	1819	1923
486	1822	1919
487	1825	1915
488	1828	1911
489	1832	1907
490	1835	1902
491	1838	1898
492	1841	1894
493	1845	1889
494	1848	1885
495	1851	1881
496	1854	1877
497	1857	1872
498	1861	1868
499	1864	1864
500	1867	1859
501	1870	1855
502	1873	1851
503	1876	1846
504	1879	1842
505	1882	1838
506	1886	1834
507	1889	1830
508	1892	1825
509	1895	1821
510	1899	1817
511	1903	1814
512	1907	1810
513	1910	1806
514	1913	1802
515	1917	1798
516	1920	1794
517	1923	1790
518	1927	1786
519	1930	1782
520	1934	1778
521	1938	1774
522	1941	1770
523	1945	1767
524	1949	1764
525	1953	1760
526	1956	1756
527	1960	1752
528	1963	1748
529	1967	1744
530	1971	1741
531	1975	1737
532	1978	1733
533	1982	1729
534	1985	1726
535	1989	1722
536	1992	1718
537	1996	1714
538	1999	1710
539	2002	1706
540	2006	1702
541	2009	1698
542	2013	1694
543	2017	1691
544	2020	1687
545	2024	1683
546	2027	1679
547	2030	1675
548	2034	1671
549	2038	1667
550	2041	1663
551	2045	1659
